,dataset,checkpoint,fid
0,celeba,dist_celeb_64_0802_20000.pth,330.7947569583239
0,celeba,dist_celeb_64_0802_22000.pth,FAIL
0,celeba,dist_celeb_64_0802_24000.pth,FAIL
0,celeba,dist_celeb_64_0802_4000.pth,FAIL
0,celeba,dist_celeb_64_0802_6000.pth,FAIL
0,celeba,dist_celeb_64_0802_8000.pth,FAIL
0,celeba,dist_celeb_64_0901_10000.pth,FAIL
0,celeba,dist_celeb_64_0901_12000.pth,FAIL
0,celeba,dist_celeb_64_0901_14000.pth,FAIL
0,celeba,dist_celeb_64_0901_16000.pth,FAIL
0,celeba,dist_celeb_64_0901_18000.pth,FAIL
0,celeba,dist_celeb_64_0901_2000.pth,FAIL
0,celeba,dist_celeb_64_0901_20000.pth,FAIL
0,celeba,dist_celeb_64_0901_22000.pth,FAIL
0,celeba,dist_celeb_64_0901_4000.pth,FAIL
0,celeba,dist_celeb_64_0901_6000.pth,FAIL
0,celeba,dist_celeb_64_0901_8000.pth,FAIL
0,celeba,dist_celeb_64_128_0901_10000.pth,FAIL
0,celeba,dist_celeb_64_128_0901_12000.pth,FAIL
0,celeba,dist_celeb_64_128_0901_14000.pth,FAIL
0,celeba,dist_celeb_64_128_0901_16000.pth,FAIL
0,celeba,dist_celeb_64_128_0901_18000.pth,FAIL
0,celeba,dist_celeb_64_128_0901_2000.pth,FAIL
0,celeba,dist_celeb_64_128_0901_20000.pth,FAIL
0,celeba,dist_celeb_64_128_0901_22000.pth,FAIL
0,celeba,dist_celeb_64_128_0901_24000.pth,FAIL
